Message,Payload
GNRMC,['155825.00', 'A', '5101.74637', 'N', '01345.08518', 'E', '0.041', '', '190125', '4.68', 'E', 'D']
GNVTG,['', 'T', '', 'M', '0.041', 'N', '0.077', 'K', 'D']
GNGGA,['155825.00', '5101.74637', 'N', '01345.08518', 'E', '2', '12', '0.83', '130.3', 'M', '43.7', 'M', '', '0000']
GNGSA,['A', '3', '29', '18', '26', '31', '28', '05', '16', '20', '25', '', '', '', '1.58', '0.83', '1.34']
GNGSA,['A', '3', '73', '74', '84', '75', '67', '', '', '', '', '', '', '', '1.58', '0.83', '1.34']
GPGSV,['4', '1', '15', '05', '28', '065', '27', '09', '03', '334', '', '16', '31', '302', '42', '18', '63', '173', '47']
GPGSV,['4', '2', '15', '20', '13', '033', '31', '23', '05', '155', '', '25', '20', '137', '38', '26', '61', '285', '42']
GPGSV,['4', '3', '15', '28', '26', '215', '33', '29', '53', '073', '42', '31', '38', '240', '40', '36', '31', '168', '36']
GPGSV,['4', '4', '15', '40', '20', '132', '', '41', '04', '106', '', '49', '31', '191', '39']
GLGSV,['3', '1', '10', '66', '12', '002', '17', '67', '11', '052', '21', '73', '51', '172', '42', '74', '71', '288', '31']
GLGSV,['3', '2', '10', '75', '21', '325', '31', '80', '00', '154', '', '82', '10', '045', '26', '83', '51', '040', '18']
GLGSV,['3', '3', '10', '84', '58', '231', '30', '85', '06', '228', '24']
GNGLL,['5101.74637', 'N', '01345.08518', 'E', '155825.00', 'A', 'D']
GNRMC,['155826.00', 'A', '5101.74631', 'N', '01345.08507', 'E', '0.028', '', '190125', '4.68', 'E', 'D']
GNVTG,['', 'T', '', 'M', '0.028', 'N', '0.052', 'K', 'D']
GNGGA,['155826.00', '5101.74631', 'N', '01345.08507', 'E', '2', '12', '0.78', '130.3', 'M', '43.7', 'M', '', '0000']
GNGSA,['A', '3', '29', '18', '26', '31', '28', '05', '16', '20', '25', '', '', '', '1.47', '0.78', '1.25']
GNGSA,['A', '3', '73', '74', '84', '75', '67', '', '', '', '', '', '', '', '1.47', '0.78', '1.25']
GPGSV,['4', '1', '15', '05', '28', '065', '28', '09', '03', '334', '', '16', '31', '302', '42', '18', '63', '173', '47']
GPGSV,['4', '2', '15', '20', '13', '033', '30', '23', '05', '155', '', '25', '20', '137', '38', '26', '61', '285', '42']
GPGSV,['4', '3', '15', '28', '26', '215', '32', '29', '53', '073', '42', '31', '38', '240', '40', '36', '31', '168', '36']
GPGSV,['4', '4', '15', '40', '20', '132', '', '41', '04', '106', '', '49', '31', '191', '40']
GLGSV,['3', '1', '10', '66', '12', '002', '16', '67', '11', '052', '20', '73', '51', '172', '43', '74', '71', '288', '31']
GLGSV,['3', '2', '10', '75', '21', '325', '31', '80', '00', '154', '', '82', '10', '045', '26', '83', '51', '040', '19']
GLGSV,['3', '3', '10', '84', '58', '231', '30', '85', '06', '228', '24']
GNGLL,['5101.74631', 'N', '01345.08507', 'E', '155826.00', 'A', 'D']
GNRMC,['155827.00', 'A', '5101.74626', 'N', '01345.08495', 'E', '0.081', '', '190125', '4.68', 'E', 'D']
GNVTG,['', 'T', '', 'M', '0.081', 'N', '0.150', 'K', 'D']
GNGGA,['155827.00', '5101.74626', 'N', '01345.08495', 'E', '2', '12', '0.75', '130.3', 'M', '43.7', 'M', '', '0000']
GNGSA,['A', '3', '29', '18', '26', '31', '28', '05', '16', '20', '25', '', '', '', '1.41', '0.75', '1.20']
GNGSA,['A', '3', '73', '74', '83', '84', '75', '', '', '', '', '', '', '', '1.41', '0.75', '1.20']
GPGSV,['4', '1', '15', '05', '28', '065', '33', '09', '03', '334', '', '16', '31', '302', '39', '18', '63', '173', '46']
GPGSV,['4', '2', '15', '20', '13', '033', '30', '23', '05', '155', '', '25', '20', '137', '38', '26', '61', '285', '35']
GPGSV,['4', '3', '15', '28', '26', '215', '33', '29', '53', '073', '41', '31', '38', '240', '41', '36', '31', '168', '36']
GPGSV,['4', '4', '15', '40', '20', '132', '', '41', '04', '106', '', '49', '31', '191', '40']
GLGSV,['3', '1', '10', '66', '12', '002', '17', '67', '11', '052', '18', '73', '51', '172', '42', '74', '71', '288', '30']
GLGSV,['3', '2', '10', '75', '21', '325', '25', '80', '00', '154', '', '82', '10', '045', '25', '83', '51', '040', '20']
GLGSV,['3', '3', '10', '84', '58', '231', '30', '85', '06', '228', '24']
GNGLL,['5101.74626', 'N', '01345.08495', 'E', '155827.00', 'A', 'D']
GNRMC,['155828.00', 'A', '5101.74626', 'N', '01345.08473', 'E', '0.074', '', '190125', '4.68', 'E', 'D']
GNVTG,['', 'T', '', 'M', '0.074', 'N', '0.137', 'K', 'D']
GNGGA,['155828.00', '5101.74626', 'N', '01345.08473', 'E', '2', '12', '0.78', '130.9', 'M', '43.7', 'M', '', '0000']
GNGSA,['A', '3', '29', '18', '26', '31', '28', '05', '16', '20', '25', '', '', '', '1.47', '0.78', '1.25']
GNGSA,['A', '3', '73', '74', '84', '75', '67', '', '', '', '', '', '', '', '1.47', '0.78', '1.25']
GPGSV,['4', '1', '15', '05', '28', '065', '33', '09', '03', '334', '', '16', '31', '302', '40', '18', '63', '173', '46']
GPGSV,['4', '2', '15', '20', '13', '033', '29', '23', '05', '155', '', '25', '20', '137', '40', '26', '61', '285', '40']
GPGSV,['4', '3', '15', '28', '26', '215', '32', '29', '53', '073', '42', '31', '38', '240', '42', '36', '31', '168', '37']
GPGSV,['4', '4', '15', '40', '20', '132', '', '41', '04', '106', '', '49', '31', '191', '41']
GLGSV,['3', '1', '10', '66', '12', '002', '16', '67', '11', '052', '21', '73', '51', '172', '42', '74', '71', '288', '31']
GLGSV,['3', '2', '10', '75', '21', '325', '25', '80', '00', '154', '', '82', '10', '045', '22', '83', '51', '040', '19']
GLGSV,['3', '3', '10', '84', '58', '231', '30', '85', '06', '228', '25']
GNGLL,['5101.74626', 'N', '01345.08473', 'E', '155828.00', 'A', 'D']
GNRMC,['155829.00', 'A', '5101.74625', 'N', '01345.08453', 'E', '0.032', '', '190125', '4.68', 'E', 'D']
GNVTG,['', 'T', '', 'M', '0.032', 'N', '0.058', 'K', 'D']
GNGGA,['155829.00', '5101.74625', 'N', '01345.08453', 'E', '2', '12', '0.75', '131.3', 'M', '43.7', 'M', '', '0000']
GNGSA,['A', '3', '29', '18', '26', '31', '28', '05', '16', '20', '25', '', '', '', '1.41', '0.75', '1.20']
GNGSA,['A', '3', '73', '74', '83', '84', '75', '67', '', '', '', '', '', '', '1.41', '0.75', '1.20']
GPGSV,['4', '1', '15', '05', '28', '065', '32', '09', '03', '334', '', '16', '31', '302', '39', '18', '63', '173', '46']
GPGSV,['4', '2', '15', '20', '13', '033', '29', '23', '05', '155', '27', '25', '20', '137', '40', '26', '61', '285', '40']
GPGSV,['4', '3', '15', '28', '26', '215', '36', '29', '53', '073', '42', '31', '38', '240', '41', '36', '31', '168', '37']
GPGSV,['4', '4', '15', '40', '20', '132', '', '41', '04', '106', '', '49', '31', '191', '40']
GLGSV,['3', '1', '10', '66', '12', '002', '17', '67', '11', '052', '24', '73', '51', '172', '42', '74', '71', '288', '29']
GLGSV,['3', '2', '10', '75', '21', '325', '26', '80', '00', '154', '', '82', '10', '045', '21', '83', '51', '040', '20']
GLGSV,['3', '3', '10', '84', '58', '231', '30', '85', '06', '228', '26']
GNGLL,['5101.74625', 'N', '01345.08453', 'E', '155829.00', 'A', 'D']
GNRMC,['155830.00', 'A', '5101.74620', 'N', '01345.08438', 'E', '0.084', '', '190125', '4.68', 'E', 'D']
GNVTG,['', 'T', '', 'M', '0.084', 'N', '0.155', 'K', 'D']
GNGGA,['155830.00', '5101.74620', 'N', '01345.08438', 'E', '2', '12', '0.78', '131.7', 'M', '43.7', 'M', '', '0000']
